 SName   Trtime       RAsw    Desw    pe  T90   Flu  Flue  P1  Pe
210307A	08:42:38	119.244	-66.965	2.1	262	28	3	1.0	0.2
210306B	09:32:14	331.813	10.152	1.9	24.32	17	2	2.4	0.5
210306A	03:53:57	129.964	60.203	1.0	9.12	57	1	20.9	0.7
210305A	19:03:04	319.808	34.548	1.0	68.6	71	2	3.4	0.3
210226A	04:43:57	124.153	57.585	1.5	20.80	12	1	2.8	0.3
210222B	22:37:26	154.631	-14.946	2.0	12.82	3.4	0.7	1.4	0.3
210218A	13:35:19	47.318	35.322	1.4	240	43	3	1.0	0.2
210217A	23:25:42	97.578	68.715	1.4	4.22	6.8	0.7	5.1	0.5
210212A	04:25:18	72.249	7.215	1.9	80.0	8.0	1.2	0.5	0.1
210211A	08:43:18	269.408	-46.270	1.4	6.1	4.2	0.4	1.0	0.2
210210A	02:00:27	262.764	14.657	1.0	6.60	9.8	0.8	7.0	0.5
210209A	21:39:44	328.097	43.545	1.6	139.4	24	2	0.6	0.2
210207B	21:52:08	270.614	53.700	1.4	95.69	43	2	3.1	0.2
210205A	11:11:17	347.264	56.311	2.1	22.70	8.7	1.6	1.6	0.5
210119A	02:54:09	282.822	-61.767	1.5	0.06	0.71	0.09	1.0	0.2
210112A	01:37:03	219.005	33.058	1.2	107.60	233	3	20.5	0.6
210104B	21:10:10	53.561	37.951	1.7	19.94	12	1	1.9	0.3
210104A	11:26:59	103.771	64.675	1.0	32.06	88	2	12.1	0.4
210102C	20:38:11	235.747	-37.231	1.0	87.25	39	2	4.4	0.3
201229A	10:59:30	210.692	48.209	2.6	53.3	13	2	1.7	0.4
201228B	15:21:45	35.594	56.015	3	NA	NA	NA	NA	NA
201223A	17:58:26	132.735	71.176	1.4	29.0	13	1	1.5	0.2
201221D	23:06:34	171.055	42.152	1.3	0.16	3.9	0.4	5.6	0.5
201221A	07:09:01	214.488	-45.406	1.6	44.5	18	2	1.0	0.3
201216C	23:07:31	16.364	16.538	1.0	48.0	450	10	18.0	1.1
201216A	19:00:31	201.4872	36.3116	3	NA	NA	NA	NA	NA
201214B	16:07:46	187.9710	9.1031	2	NA	NA	NA	NA	NA
201209A	05:44:52	23.096	-1.762	1.1	48.0	140	10	12.2	1.1
201203A	06:52:27	38.055	-26.505	1.9	12.18	2.9	0.5	0.5	0.1
201128B	17:54:11	339.354	-49.246	5	NA	NA	NA	NA	NA
201128A	06:27:58	223.091	26.716	2.4	5.41	2.0	0.4	0.4	0.2
201105A	05:31:10	245.610	12.734	1.0	33.82	120	2	13.9	0.5
201104B	17:33:46	5.215	7.834	1.0	8.66	18	1	4.1	0.3
201029A	20:19:50	229.607	44.473	2.0	120.55	22	1	0.6	0.1
201027A	01:07:44	155.954	-5.499	1.9	546.73	NA	NA	1.4	0.3
201026A	22:37:34	196.696	83.807	1.2	135.38	56	2	2.2	0.3
201024A	02:48:59	125.959	3.357	1.6	5.00	8.1	0.9	3.7	0.6
201021C	20:27:18	12.503	-55.862	1.3	24.38	10	1	1.0	0.2
201020A	05:47:26	261.239	31.428	1.2	14.17	9.2	0.7	2.1	0.2
201017A	09:46:31	36.587	66.663	2.3	22.08	9.0	1.4	1.8	0.4
201015A	22:50:13	354.310	53.446	2.9	9.78	2.0	0.6	1.8	0.4
201014A	22:48:38	20.834	27.722	2.5	36.2	3.1	0.7	0.3	0.2
201013A	03:46:30	107.392	57.031	1.0	7.36	67	1	24.6	0.7
201008A	10:37:36	161.744	46.101	5	 2.5	NA	NA	NA	NA
201006A	01:17:52	61.917	65.148	2.1	0.49	1.3	0.2	2.2	0.3
201001A	09:58:51	110.050	-2.213	1.9	15.2	7.6	1.1	1.0	0.3
200925B	21:50:37	246.892	78.393	1.2	18.25	10	1	3.0	0.3
200922A	12:06:46	296.954	-55.199	1.0	10.30	28	1	11.4	0.5
200919A	01:52:20	168.899	32.456	1.3	76.0	18	2	1.2	0.2
200917A	03:52:28	235.742	-4.695	2.0	19.4	3.0	0.6	0.6	0.2
200909B	23:17:10	175.171	-31.199	1.4	16.9	12	1	1.3	0.3
200907B	18:51:11	89.019	6.905	1.8	0.83	1.6	0.2	1.5	0.2
200906A	13:11:04	272.284	67.887	1.4	70.90	28	1	2.5	0.2
200903A	00:44:22	164.313	50.488	1.0	24.15	28	1	3.8	0.3
200901B	07:09:26	217.860	-38.704	3.0	705.94	43	4	0.4	0.2
200901A	03:47:31	61.759	-59.901	1.1	20.37	29	2	7.7	0.6
200829A	13:59:34	251.136	72.363	1.8	13.04	510	10	98.7	1.6
200819A	15:43:52	21.527	63.061	2.1	23.62	3.2	0.6	0.6	0.1
200809B	15:41:27	15.9406	-73.8459	4	NA	NA	NA	NA	NA
200806A	15:28:49	52.933	37.076	1.0	38.8	10	2	12.1	0.4
200729A	19:38:05	184.360	45.571	2.3	122.0	16	2	0.7	0.3
200716C	22:57:41	196.011	29.636	1.0	86	36	2	10.7	0.5
200716A	01:26:37.76	139.348	-16.712	5	NA	NA	NA	NA	NA
200714E	18:35:05	196.8656	-51.6403	5	NA	NA	NA	NA	NA
200713A	11:42:54	76.941	-32.846	2.8	48.98	9.0	1.6	0.8	0.3
200711A	11:04:36	285.975	-0.134	1.4	29.39	53	3	7.7	1.0
200701A	12:46:59	123.563	-14.553	1.7	38.9	9.3	1.0	0.7	0.2
200630A	01:49:34	91.389	-60.779	1.9	14.83	4.7	0.7	1.4	0.2
